iter	Logloss
0	0.6920786921
1	0.6910353124
2	0.6905398062
3	0.6897021757
4	0.6891294728
5	0.6884916972
6	0.6878256322
7	0.687429042
8	0.6869260723
9	0.6865758747
10	0.6861850416
11	0.6858545025
12	0.6856661807
13	0.6854042262
14	0.6849143732
15	0.6845660285
16	0.6843807318
17	0.6840396521
18	0.684011618
19	0.6838337139
20	0.6836091146
21	0.6833373001
22	0.6831931826
23	0.6831395202
24	0.6829158757
25	0.6827488809
26	0.6825339194
27	0.6822722343
28	0.6821565669
29	0.6821212158
30	0.681953857
31	0.6819232988
32	0.6818239291
33	0.6816743806
34	0.6815919136
35	0.6815487587
36	0.681500135
37	0.6813464222
38	0.6812504368
39	0.681206398
40	0.68118016
41	0.6810475615
42	0.6810369784
43	0.6809376701
44	0.6809031462
45	0.6808459719
46	0.6808150497
47	0.6807878474
48	0.6807814191
49	0.6806987678
50	0.6806972505
51	0.68056953
52	0.6805111219
53	0.6805111834
54	0.6804784745
55	0.6804634814
