iter	Passed	Remaining
0	6	8222
1	13	8317
2	23	9353
3	36	10780
4	44	10704
5	60	12043
6	77	13195
7	94	14105
8	104	13786
9	111	13210
10	123	13375
11	138	13720
12	147	13503
13	157	13334
14	162	12849
15	172	12793
16	186	12947
17	193	12687
18	202	12560
19	209	12347
20	216	12160
21	225	12088
22	234	11990
23	242	11876
24	247	11652
25	254	11493
26	261	11366
27	267	11196
28	272	11001
29	279	10905
30	287	10832
31	299	10927
32	307	10883
33	315	10834
34	324	10812
35	336	10886
36	347	10910
37	351	10763
38	362	10804
39	367	10668
40	377	10669
41	397	10962
42	429	11558
43	447	11744
44	466	11963
45	478	11994
46	503	12363
47	512	12307
48	521	12261
49	532	12241
50	546	12314
51	560	12364
52	571	12360
53	580	12320
54	598	12460
55	606	12397
56	614	12323
57	625	12309
58	630	12187
59	634	12057
60	638	11917
61	645	11845
62	649	11720
63	657	11679
64	665	11616
65	673	11567
66	679	11496
67	686	11428
68	696	11411
69	703	11349
70	711	11306
71	715	11203
72	720	11121
73	725	11035
74	729	10943
75	733	10850
