iter	Passed	Remaining
0	8	1679
1	18	1788
2	27	1818
3	35	1744
4	39	1536
5	45	1466
6	50	1386
7	54	1316
8	58	1234
9	63	1207
10	68	1169
11	73	1144
12	77	1115
13	82	1099
14	86	1066
15	91	1047
16	96	1037
17	101	1025
18	105	1009
19	111	1000
20	117	997
21	121	984
22	126	973
23	131	963
24	135	951
25	140	940
26	145	935
27	150	926
28	155	916
29	160	907
30	165	900
31	170	893
32	175	887
33	180	880
34	184	872
35	190	865
36	195	862
37	200	855
38	205	847
39	210	841
40	215	834
41	220	828
42	225	822
43	230	816
44	234	809
45	240	804
46	245	798
47	249	791
48	254	784
49	259	779
50	264	773
51	269	767
52	274	761
53	279	756
54	284	749
55	289	743
56	294	738
57	299	733
58	304	727
59	309	722
60	314	716
61	319	711
62	325	707
63	330	702
64	335	696
65	340	691
66	346	687
67	350	680
68	356	675
69	361	670
70	366	665
71	371	660
72	376	655
73	381	649
74	386	644
75	391	638
76	396	633
77	401	628
78	407	623
79	412	618
80	417	613
81	423	609
82	428	603
83	433	598
84	439	594
85	444	588
86	449	583
87	455	579
88	460	574
89	465	568
90	470	563
91	476	558
92	481	553
93	486	548
94	492	544
95	497	539
96	503	534
97	508	529
98	514	524
99	519	519
100	525	515
101	530	510
102	537	505
103	543	501
104	548	496
105	554	491
106	559	486
107	565	481
108	570	476
109	576	471
110	581	466
111	587	461
112	593	456
113	598	451
114	604	446
115	609	441
116	615	436
117	620	431
118	626	426
119	631	421
120	637	416
121	642	410
122	647	405
123	652	400
124	657	394
125	663	389
126	668	384
127	673	378
128	678	373
129	684	368
130	689	363
131	694	357
132	700	352
133	705	347
134	710	342
135	716	337
136	721	331
137	726	326
138	732	321
139	737	316
140	743	311
141	749	305
142	753	300
143	759	295
144	764	290
145	770	284
146	775	279
147	780	274
148	786	269
149	791	263
150	797	258
151	802	253
152	807	248
153	812	242
154	817	237
155	822	232
156	828	226
157	833	221
158	839	216
159	844	211
160	849	205
161	855	200
162	860	195
163	866	190
164	871	184
165	876	179
166	882	174
167	887	169
168	892	163
169	897	158
170	902	153
171	908	147
172	913	142
173	918	137
174	923	131
175	929	126
176	934	121
177	940	116
178	946	110
179	951	105
180	956	100
181	962	95
182	967	89
183	973	84
184	979	79
185	984	74
186	991	68
187	997	63
188	1002	58
189	1008	53
190	1014	47
191	1020	42
192	1026	37
193	1031	31
194	1037	26
195	1042	21
196	1048	15
197	1053	10
198	1059	5
199	1064	0
